Clade,N_species,Age,Continent,Notes
Poecile,7,8.03,North,
Empidonax,15,6.15,North,3 Central American spp
Lessonia + Muscisaxicola + allies ,49,9.76,South,
Chat-tyrants + allies,29,12.6,South,
Casiornis + Rhytiptema ,5,1.97,South,
Sirystes,2,1.72,South,
Attilas,7,5.97,South,
Myiozetetes,4,5.35,South,
Ramphotrigon + Deltarhynchus,4,9.79,South,
Tyrannulets + Elaenias + allies,96,14.9,South,
"Myiophobus, Myiotriccus + allies",8,12.1,South,
Spadebills + Neopipo,8,18.8,South,
Pygmy-Tyrants + Flatbills + allies,103,22,South,
Piprites,3,17.4,South,
Oxyruncus cristatus,1,25,South,
Contingidae,30,20.4,South,
Tyrant-flycatchers,9,19,South,
Pipridae + Contingidae,117,23.5,South,
Antbirds + Antipittas + Overbirds + allies,652,31.2,South,
Greenlets,15,15.5,South,
Auriparus flaviceps,1,30.4,North,
Beaolophus,5,10,North,
Psaltriparus minimus,1,4.99,North,
Regulus,2,34.6,North,Some Old World spp in radiation
Silky flycatchers,3,21.9,North,
Bombycilla,2,10.9,North,
Nuthatches,3,15.2,North,Some Old World spp in radiation
Certhia americana,1,1.7,North,
Microbates,2,3.43,South,
Hylorchilus + Catherpes + Salpinctes,4,14.3,North,
Microcerculus,4,9.06,South,
Odontorchilus,2,5.18,South,
Cyphorhinus,3,5.82,South,
Cinnycerthia,4,8.34,South,
Thryothorus + Thryomanes,2,10,North,
Woodwrens + allies,15,11,South,
Dumetella carolinensis,1,6.63,North,
Toxostoma,10,9.64,North,
Mimus,5,3.42,South,
Cinclus mexicanus,1,13.4,North,
Cinclus,2,6.77,South,
Sialia,3,5.1,North,
Cichlopsis + Entomodestes,3,7.87,South,
Catharus,3,1.41,North,
Turdus thurshus + allies,28,7.76,South,
Turdus robins,2,0.609,North,
Peucedramus taeniatus,1,31.4,North,
Coccothraustes,2,10.2,North,1 Old Word spp
Carpodacus finches,3,11.4,North,
Leucosticte,3,0.246,North,
Carduelis flammea + Loxia,4,5.35,North,
Carduelis goldfinches,3,3.47,North,
Siskins,11,1.67,South,
Emberizidae,6,16.9,North,
Verminova + Parula,10,8.4,North,
Seirurus + Mniotita varia,3,7.56,North,
Prothonotaria + Limnothlypis,2,7.52,North,
Oporornis,4,5.16,North,
Dendroica + allies,25,5.6,North,Some Caribbean spp in radiation
Basileuterus + allies,17,7.41,South,
Wilsonia + Myioborus,5,5.26,North,
Myioborus,10,3.32,South,
Orioles,10,4.8,North,
Psarocolius + allies,22,6.56,South,
Quiscalus,3,2.46,North,Some Caribbean spp in radiation
Macroagelaius + allies,19,5.59,South,
Brush-finches,16,6.69,South,
Chlorospringus Tanagers,9,6.89,South,
Amphisipiza + allies,9,8.85,North,
Atlapetes ,14,6.11,South,
Atlapetes ,3,2.84,South,
Zonotrichia + Junco + Spizella,10,6.78,North,
Buntings,7,8.26,North,
Habia + Chlorothraupis,9,11,South,
Piranga tanagers,8,10.7,North,
Tanagers + grosbeaks + saltators + allies,391,18.7,South,
Amaurospiza + Cyanocompsa,6,9.01,South,
Pipilo,4,2.81,North,
Passerculus + sparrows,14,6.84,North,